epoch,metric,series,value
42,accuracy,train,0.6136544059274941
42,accuracy,val_clean,0.7764668367346939
42,loss,train,1.4555695644286804
42,learning_rate,lr,0.0005313952597646566
43,accuracy,train,0.6329716856311194
43,accuracy,val_clean,0.7582908163265306
43,loss,train,1.4299504298575816
43,learning_rate,lr,0.0005104712099416783
44,accuracy,train,0.6247684572638265
44,accuracy,val_clean,0.7847576530612245
44,loss,train,1.4379337274640223
44,learning_rate,lr,0.0004895287900583214
45,accuracy,train,0.6468642498015348
45,accuracy,val_clean,0.7713647959183674
45,loss,train,1.403767773606027
45,learning_rate,lr,0.0004686047402353432
46,accuracy,train,0.663799947075946
46,accuracy,val_clean,0.7834821428571429
46,loss,train,1.357937384579162
46,learning_rate,lr,0.00044773576836617315
47,accuracy,train,0.6423657052130193
47,accuracy,val_clean,0.7959183673469388
47,loss,train,1.3935482051202814
47,learning_rate,lr,0.0004269584857187942
48,accuracy,train,0.6583752315427361
48,accuracy,val_clean,0.8016581632653061
48,loss,train,1.3867141595117691
48,learning_rate,lr,0.00040630934270713756
49,accuracy,train,0.6722677957131517
49,accuracy,val_clean,0.8061224489795918
49,loss,train,1.3555960402535396
49,learning_rate,lr,0.0003858245649446721
50,accuracy,train,0.673987827467584
50,accuracy,val_clean,0.8064413265306123
50,loss,train,1.3339629366019947
50,learning_rate,lr,0.00036554008969236717
51,accuracy,train,0.6704154538237629
51,accuracy,val_clean,0.7994260204081632
51,loss,train,1.3610868201302486
51,learning_rate,lr,0.0003454915028125262
52,accuracy,train,0.6741201376025403
52,accuracy,val_clean,0.7927295918367347
52,loss,train,1.350795643359273
52,learning_rate,lr,0.00032571397633909235
53,accuracy,train,0.6681661815295051
53,accuracy,val_clean,0.8073979591836735
53,loss,train,1.378778616755562
53,learning_rate,lr,0.0003062422067739484
54,accuracy,train,0.7013760254035459
54,accuracy,val_clean,0.8125
54,loss,train,1.3001050585696041
54,learning_rate,lr,0.00028711035421746355
55,accuracy,train,0.7070653612066684
55,accuracy,val_clean,0.8125
55,loss,train,1.2846283619603835
55,learning_rate,lr,0.00026835198244006914
56,accuracy,train,0.6910558348769515
56,accuracy,val_clean,0.8096301020408163
56,loss,train,1.3244395076865776
56,learning_rate,lr,0.0002499999999999998
57,accuracy,train,0.7017729558084149
57,accuracy,val_clean,0.8026147959183674
57,loss,train,1.2858093324304416
57,learning_rate,lr,0.0002320866025105017
58,accuracy,train,0.6787509923260122
58,accuracy,val_clean,0.8102678571428571
58,loss,train,1.34693030347014
58,learning_rate,lr,0.00021464321615778412
59,accuracy,train,0.6803387139454882
59,accuracy,val_clean,0.8220663265306123
59,loss,train,1.3365099016842181
59,learning_rate,lr,0.00019770044256881252
60,accuracy,train,0.7126223868748346
60,accuracy,val_clean,0.8233418367346939
60,loss,train,1.2987008530269006
60,learning_rate,lr,0.00018128800512565507
61,accuracy,train,0.7017729558084149
61,accuracy,val_clean,0.8166454081632653
61,loss,train,1.3120408946479178
61,learning_rate,lr,0.00016543469682057084
62,accuracy,train,0.6899973537973009
62,accuracy,val_clean,0.8207908163265306
62,loss,train,1.3155407253066267
62,learning_rate,lr,0.00015016832974331718
63,accuracy,train,0.714739349034136
63,accuracy,val_clean,0.8252551020408163
63,loss,train,1.2748675890213663
63,learning_rate,lr,0.0001355156862892943
64,accuracy,train,0.7036252976978037
64,accuracy,val_clean,0.8227040816326531
64,loss,train,1.3038104329357767
64,learning_rate,lr,0.00012150247217412183
65,accuracy,train,0.7111669753903149
65,accuracy,val_clean,0.8268494897959183
65,loss,train,1.2890927176464169
65,learning_rate,lr,0.0001081532713370801
66,accuracy,train,0.723736438211167
66,accuracy,val_clean,0.8255739795918368
66,loss,train,1.2670928263954462
66,learning_rate,lr,9.54915028125263e-05
67,accuracy,train,0.7255887801005557
67,accuracy,val_clean,0.8242984693877551
67,loss,train,1.2518523335614573
67,learning_rate,lr,8.353937964495026e-05
68,accuracy,train,0.7206933051071712
68,accuracy,val_clean,0.8303571428571429
68,loss,train,1.272877345958315
68,learning_rate,lr,7.231786991974668e-05
69,accuracy,train,0.7238687483461234
69,accuracy,val_clean,0.8316326530612245
69,loss,train,1.2589603235211186
69,learning_rate,lr,6.184665997806819e-05
70,accuracy,train,0.7204286848372585
70,accuracy,val_clean,0.8287627551020408
70,loss,train,1.2718327328716519
70,learning_rate,lr,5.214411988029364e-05
71,accuracy,train,0.7263826409102937
71,accuracy,val_clean,0.8303571428571429
71,loss,train,1.2575060374114084
71,learning_rate,lr,4.3227271178699604e-05
72,accuracy,train,0.7222810267266473
72,accuracy,val_clean,0.8306760204081632
72,loss,train,1.2523725145895919
72,learning_rate,lr,3.511175705587431e-05
73,accuracy,train,0.7242656787509923
73,accuracy,val_clean,0.829719387755102
73,loss,train,1.2643548525903363
73,learning_rate,lr,2.781181488125949e-05
74,accuracy,train,0.7247949192908176
74,accuracy,val_clean,0.828125
74,loss,train,1.2655561814928975
74,learning_rate,lr,2.1340251233966372e-05
75,accuracy,train,0.7124900767398783
75,accuracy,val_clean,0.8287627551020408
75,loss,train,1.2939216905594124
75,learning_rate,lr,1.570841943568446e-05
